timestamp,url,latency,status,failure
2026-03-24 20:19:30.469009,http://localhost,0.017040252685546875,200,0
2026-03-24 20:19:32.397200,https://example.com,,0,1
2026-03-24 20:19:33.037221,http://localhost/api,0.017886877059936523,404,0
2026-03-24 20:19:34.443180,https://example.com,,0,1
2026-03-24 20:19:35.428703,https://example.com,,0,1
2026-03-24 20:19:38.233875,https://example.com,,0,1
2026-03-24 20:19:39.655349,https://example.com,,0,1
2026-03-24 20:19:41.356058,https://jsonplaceholder.typicode.com/posts,0.5338423252105713,200,0
2026-03-24 20:19:43.135982,http://localhost/test,0.0182187557220459,404,0
2026-03-24 20:19:43.814194,http://localhost/test,0.009174108505249023,404,0
2026-03-24 20:19:45.080880,https://jsonplaceholder.typicode.com/posts,0.6230423450469971,200,0
2026-03-24 20:19:47.050932,http://localhost/api,0.01848578453063965,404,0
2026-03-24 20:19:47.706184,http://localhost/test,0.018099546432495117,404,0
2026-03-24 20:19:49.618004,http://localhost,0.018952369689941406,200,0
2026-03-24 20:19:51.989026,https://httpbin.org/get,1.5403001308441162,200,0
2026-03-24 20:19:53.240447,http://localhost/test,0.008015155792236328,404,0
2026-03-24 20:19:54.816143,http://localhost/test,0.01753687858581543,404,0
2026-03-24 20:19:56.191801,https://example.com,,0,1
2026-03-24 20:20:00.142757,http://localhost:8000,,0,1
2026-03-24 20:20:01.414483,https://jsonplaceholder.typicode.com/posts,0.3796875476837158,200,0
2026-03-24 20:20:02.877670,https://jsonplaceholder.typicode.com/posts,0.5446691513061523,200,0
2026-03-24 20:20:05.025048,https://example.com,,0,1
2026-03-24 20:20:06.992773,http://localhost,0.019132614135742188,200,0
2026-03-24 20:20:10.194067,http://localhost:8000,,0,1
2026-03-24 20:20:14.134062,http://localhost:8000,,0,1
2026-03-24 20:20:16.151874,http://localhost/test,0.02008223533630371,404,0
2026-03-24 20:20:17.869650,https://example.com,,0,1
2026-03-24 20:20:20.904952,https://httpbin.org/get,1.1745166778564453,200,0
2026-03-24 20:20:24.247587,http://localhost:8000,,0,1
2026-03-24 20:20:25.546297,http://localhost/api,0.018993616104125977,404,0
2026-03-24 20:20:28.659240,https://httpbin.org/get,1.5184640884399414,200,0
2026-03-24 20:20:30.147184,http://localhost/test,0.010971307754516602,404,0
2026-03-24 20:20:31.648501,https://example.com,,0,1
2026-03-24 20:20:32.297682,http://localhost,0.01886463165283203,200,0
2026-03-24 20:20:34.880425,http://localhost:8000,,0,1
2026-03-24 20:20:35.794645,http://localhost,0.017904281616210938,200,0
2026-03-24 20:20:39.809089,http://localhost:8000,,0,1
2026-03-24 20:20:41.483567,http://localhost/test,0.017885684967041016,404,0
2026-03-24 20:20:43.167786,https://example.com,,0,1
2026-03-24 20:20:43.999553,http://localhost/api,0.017888545989990234,404,0
2026-03-24 20:20:44.705890,http://localhost/test,0.019080400466918945,404,0
2026-03-24 20:20:47.267920,https://httpbin.org/get,1.7634077072143555,200,0
2026-03-24 20:20:50.930084,http://localhost:8000,,0,1
2026-03-24 20:20:53.730212,http://localhost:8000,,0,1
2026-03-24 20:20:56.224955,https://httpbin.org/get,1.2747821807861328,200,0
2026-03-24 20:20:57.061808,http://localhost,0.02096724510192871,200,0
2026-03-24 20:20:59.772035,https://httpbin.org/get,1.3712074756622314,200,0
2026-03-24 20:21:01.939341,https://jsonplaceholder.typicode.com/posts,0.7513940334320068,200,0
2026-03-24 20:21:04.584041,http://localhost:8000,,0,1
2026-03-24 20:21:06.587264,https://example.com,,0,1
2026-03-24 20:21:08.089356,http://localhost,0.018975257873535156,200,0
2026-03-24 20:21:12.114002,http://localhost:8000,,0,1
2026-03-24 20:21:12.960180,http://localhost/test,0.017892122268676758,404,0
2026-03-24 20:21:13.980637,http://localhost/api,0.01907491683959961,404,0
2026-03-24 20:21:15.448391,http://localhost/api,0.017914295196533203,404,0
2026-03-24 20:21:16.730051,https://example.com,,0,1
2026-03-24 20:21:18.551141,https://httpbin.org/get,1.1964972019195557,200,0
2026-03-24 20:21:21.421242,https://httpbin.org/get,,0,1
2026-03-24 20:21:22.826245,http://localhost,0.009901046752929688,200,0
2026-03-24 20:21:24.543685,https://example.com,,0,1
2026-03-24 20:21:28.018070,https://jsonplaceholder.typicode.com/posts,2.4160821437835693,200,0
2026-03-24 20:21:29.776127,http://localhost,0.017969369888305664,200,0
2026-03-24 20:21:31.633663,https://jsonplaceholder.typicode.com/posts,0.6731030941009521,200,0
2026-03-24 20:21:34.262694,http://localhost:8000,,0,1
2026-03-24 20:21:34.975909,http://localhost,0.013001441955566406,200,0
2026-03-24 20:21:37.163556,https://jsonplaceholder.typicode.com/posts,0.36235690116882324,200,0
2026-03-24 20:21:38.681250,http://localhost,0.01914072036743164,200,0
2026-03-24 20:21:40.127766,https://jsonplaceholder.typicode.com/posts,0.5883986949920654,200,0
2026-03-24 20:21:42.048234,https://jsonplaceholder.typicode.com/posts,0.3567779064178467,200,0
2026-03-24 20:21:43.915346,http://localhost,0.019042253494262695,200,0
2026-03-24 20:21:45.325809,http://localhost,0.01837778091430664,200,0
2026-03-24 20:21:45.935834,http://localhost/api,0.01694202423095703,404,0
2026-03-24 20:21:47.513865,http://localhost,0.017711639404296875,200,0
2026-03-24 20:21:49.023558,http://localhost/test,0.01803278923034668,404,0
2026-03-24 20:21:53.029718,http://localhost:8000,,0,1
2026-03-24 20:21:53.945331,https://jsonplaceholder.typicode.com/posts,0.36683201789855957,200,0
2026-03-24 20:21:55.908116,http://localhost/test,0.01872396469116211,404,0
2026-03-24 20:21:57.658058,http://localhost,0.01802992820739746,200,0
